timestamp,local_run_id,route_position,humanoid_class,capacity,remaining_time,role,inspected,action,action_side
2025-07-29T13:24:18.657911,0,-1,"(, )","(0,10)",720,"(, )",NN,squish,unknown
2025-07-29T13:24:18.657911,0,-1,"(corpse, healthy, healthy)","(0,10)",715,"(Police, Child, Civilian)",NN,squish,left
2025-07-29T13:24:18.658912,0,-1,"(, )","(0,10)",715,"(, )",NN,squish,unknown
2025-07-29T13:24:18.658912,0,-1,"(corpse, injured, healthy)","(0,10)",710,"(Civilian, Child, Doctor)",NN,squish,left
2025-07-29T13:24:18.659912,0,-1,"(, )","(0,10)",710,"(, )",NN,save,unknown
2025-07-29T13:24:18.660912,0,-1,"(healthy, healthy)","(1,10)",680,"(Child, Civilian)",NN,save,left
2025-07-29T13:24:18.661912,0,-1,"(, )","(1,10)",680,"(, )",NN,squish,unknown
2025-07-29T13:24:18.661912,0,-1,"(zombie, zombie)","(1,10)",675,"(Doctor, Child)",NN,squish,left
2025-07-29T13:24:18.662912,0,-1,"(, )","(1,10)",675,"(, )",NN,squish,unknown
2025-07-29T13:24:18.662912,0,-1,"(zombie, healthy)","(1,10)",670,"(Police, Militant)",NN,squish,left
2025-07-29T13:24:18.663912,0,-1,"(, )","(1,10)",670,"(, )",NN,save,unknown
2025-07-29T13:24:18.663912,0,-1,"(healthy, healthy)","(2,10)",640,"(Doctor, Police)",NN,save,left
2025-07-29T13:24:18.664912,0,-1,"(, )","(2,10)",640,"(, )",NN,save,unknown
2025-07-29T13:24:18.664912,0,-1,"(healthy, healthy)","(3,10)",610,"(Civilian, Civilian)",NN,save,right
2025-07-29T13:24:18.665912,0,-1,"(, )","(3,10)",610,"(, )",NN,squish,unknown
2025-07-29T13:24:18.665912,0,-1,"(zombie, healthy)","(3,10)",605,"(Civilian, Police)",NN,squish,left
2025-07-29T13:24:18.667913,0,-1,"(, )","(3,10)",605,"(, )",NN,save,unknown
2025-07-29T13:24:19.334407,0,-1,"(healthy, healthy, healthy)","(4,10)",575,"(Police, Doctor, Civilian)",NN,save,left
2025-07-29T13:24:19.335492,0,-1,"(, )","(4,10)",575,"(, )",NN,save,unknown
2025-07-29T13:24:19.335492,0,-1,"(healthy, healthy)","(5,10)",545,"(Civilian, Civilian)",NN,save,right
2025-07-29T13:24:19.337512,0,-1,"(, )","(5,10)",545,"(, )",NN,save,unknown
2025-07-29T13:24:19.337512,0,-1,"(healthy, healthy)","(6,10)",515,"(Civilian, Civilian)",NN,save,left
2025-07-29T13:24:19.338515,0,-1,"(, )","(6,10)",515,"(, )",NN,save,unknown
2025-07-29T13:24:19.338515,0,-1,"(healthy, healthy)","(7,10)",485,"(Doctor, Militant)",NN,save,left
2025-07-29T13:24:19.340538,0,-1,"(, )","(7,10)",485,"(, )",NN,squish,unknown
2025-07-29T13:24:19.340538,0,-1,"(zombie, healthy)","(7,10)",480,"(Police, Civilian)",NN,squish,left
2025-07-29T13:24:19.341619,0,-1,"(, )","(7,10)",480,"(, )",NN,save,unknown
2025-07-29T13:24:19.897011,0,-1,"(healthy, zombie)","(8,10)",450,"(Police, Child)",NN,save,left
2025-07-29T13:24:19.898454,0,-1,"(, )","(8,10)",450,"(, )",NN,save,unknown
2025-07-29T13:24:19.898454,0,-1,"(injured, healthy, corpse)","(10,10)",420,"(Civilian, Civilian, Child)",NN,save,right
2025-07-29T13:24:19.901472,0,-1,"(, )","(10,10)",420,"(, )",NN,squish,unknown
2025-07-29T13:24:19.901472,0,-1,"(injured, corpse)","(10,10)",415,"(Civilian, Child)",NN,squish,right
2025-07-29T13:24:19.902470,0,-1,"(, )","(10,10)",415,"(, )",NN,squish,unknown
2025-07-29T13:24:19.902470,0,-1,"(zombie, healthy)","(10,10)",410,"(Civilian, Child)",NN,squish,left
2025-07-29T13:24:19.904496,0,-1,"(, )","(10,10)",410,"(, )",NN,squish,unknown
2025-07-29T13:24:19.904496,0,-1,"(zombie, healthy, zombie)","(10,10)",405,"(Civilian, Doctor, Child)",NN,squish,left
2025-07-29T13:24:19.913568,0,20,FINAL_SCORE,"(10,10)",405,SCORE:326.0,ROUTE:COMPLETE,game_end,movements_20_20
