timestamp,local_run_id,route_position,humanoid_class,capacity,remaining_time,role,inspected,action,action_side
2025-07-29T13:26:44.811558,0,-1,"(, )","(0,10)",720,"(, )",NN,squish,unknown
2025-07-29T13:26:44.811558,0,-1,"(corpse, injured)","(0,10)",715,"(Doctor, Child)",NN,squish,left
2025-07-29T13:26:44.812569,0,-1,"(, )","(0,10)",715,"(, )",NN,squish,unknown
2025-07-29T13:26:44.812569,0,-1,"(zombie, healthy, healthy)","(0,10)",710,"(Child, Civilian, Child)",NN,squish,left
2025-07-29T13:26:44.813576,0,-1,"(, )","(0,10)",710,"(, )",NN,squish,unknown
2025-07-29T13:26:44.813576,0,-1,"(corpse, zombie, healthy)","(0,10)",705,"(Civilian, Police, Civilian)",NN,squish,left
2025-07-29T13:26:44.814575,0,-1,"(, )","(0,10)",705,"(, )",NN,squish,unknown
2025-07-29T13:26:44.814575,0,-1,"(zombie, corpse, corpse, zombie)","(0,10)",700,"(Doctor, Militant, Doctor, Civilian)",NN,squish,left
2025-07-29T13:26:44.815734,0,-1,"(, )","(0,10)",700,"(, )",NN,squish,unknown
2025-07-29T13:26:44.815734,0,-1,"(zombie, healthy)","(0,10)",695,"(Doctor, Doctor)",NN,squish,left
2025-07-29T13:26:44.816735,0,-1,"(, )","(0,10)",695,"(, )",NN,save,unknown
2025-07-29T13:26:44.816735,0,-1,"(healthy, zombie, corpse)","(1,10)",665,"(Civilian, Civilian, Child)",NN,save,left
2025-07-29T13:26:44.817829,0,-1,"(, )","(1,10)",665,"(, )",NN,save,unknown
2025-07-29T13:26:44.817829,0,-1,"(healthy, zombie)","(2,10)",635,"(Militant, Militant)",NN,save,left
2025-07-29T13:26:44.818832,0,-1,"(, )","(2,10)",635,"(, )",NN,squish,unknown
2025-07-29T13:26:44.818832,0,-1,"(healthy, healthy, corpse)","(2,10)",630,"(Civilian, Civilian, Police)",NN,squish,right
2025-07-29T13:26:44.819835,0,-1,"(, )","(2,10)",630,"(, )",NN,save,unknown
2025-07-29T13:26:44.819835,0,-1,"(, healthy, corpse)","(2,10)",600,"(, Civilian, Child)",NN,save,left
2025-07-29T13:26:44.821120,0,-1,"(, )","(2,10)",600,"(, )",NN,squish,unknown
2025-07-29T13:26:44.821120,0,-1,"(zombie, corpse, corpse)","(2,10)",595,"(Doctor, Police, Civilian)",NN,squish,right
2025-07-29T13:26:44.821120,0,-1,"(, )","(2,10)",595,"(, )",NN,save,unknown
2025-07-29T13:26:44.821120,0,-1,"(healthy, healthy)","(3,10)",565,"(Civilian, Doctor)",NN,save,left
2025-07-29T13:26:44.822543,0,-1,"(, )","(3,10)",565,"(, )",NN,squish,unknown
2025-07-29T13:26:44.823641,0,-1,"(zombie, injured)","(3,10)",560,"(Civilian, Doctor)",NN,squish,left
2025-07-29T13:26:44.824734,0,-1,"(, )","(3,10)",560,"(, )",NN,save,unknown
2025-07-29T13:26:44.824734,0,-1,"(healthy, zombie)","(4,10)",530,"(Civilian, Civilian)",NN,save,left
2025-07-29T13:26:44.825748,0,-1,"(, )","(4,10)",530,"(, )",NN,squish,unknown
2025-07-29T13:26:44.825748,0,-1,"(corpse, injured, healthy)","(4,10)",525,"(Civilian, Child, Civilian)",NN,squish,left
2025-07-29T13:26:44.826757,0,-1,"(, )","(4,10)",525,"(, )",NN,save,unknown
2025-07-29T13:26:44.826757,0,-1,"(healthy, healthy)","(5,10)",495,"(Civilian, Police)",NN,save,left
2025-07-29T13:26:44.827764,0,-1,"(, )","(5,10)",495,"(, )",NN,save,unknown
2025-07-29T13:26:44.827764,0,-1,"(healthy, injured)","(6,10)",465,"(Child, Doctor)",NN,save,left
2025-07-29T13:26:44.828760,0,-1,"(, )","(6,10)",465,"(, )",NN,save,unknown
2025-07-29T13:26:44.828760,0,-1,"(healthy, healthy, zombie)","(8,10)",435,"(Child, Doctor, Doctor)",NN,save,left
2025-07-29T13:26:44.829832,0,-1,"(, )","(8,10)",435,"(, )",NN,squish,unknown
2025-07-29T13:26:44.829832,0,-1,"(healthy, injured)","(8,10)",430,"(Child, Civilian)",NN,squish,left
2025-07-29T13:26:44.830844,0,-1,"(, )","(8,10)",430,"(, )",NN,squish,unknown
2025-07-29T13:26:44.830844,0,-1,"(zombie, injured, corpse)","(8,10)",425,"(Child, Civilian, Doctor)",NN,squish,left
2025-07-29T13:26:44.831844,0,-1,"(, )","(8,10)",425,"(, )",NN,save,unknown
2025-07-29T13:26:44.831844,0,-1,"(healthy, zombie)","(9,10)",395,"(Child, Child)",NN,save,left
2025-07-29T13:26:44.840888,0,20,FINAL_SCORE,"(9,10)",395,SCORE:349.0,ROUTE:COMPLETE,game_end,movements_20_20
