Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,7,SAVED healthy on LEFT side,healthy,Child,zombie,Child,save,left,1,690,N,N
2,7,SAVED healthy on LEFT side,healthy,Civilian,healthy,Doctor,save,left,2,660,N,N
3,7,SAVED injured on LEFT side,injured,Civilian,,,save,left,3,630,N,N
4,7,SQUISHED zombie on RIGHT side,corpse|corpse,Civilian|Child,zombie,Civilian,squish,right,3,625,N,N
5,7,SAVED healthy on RIGHT side,healthy,Child,healthy,Doctor,save,right,4,595,N,N
6,7,SQUISHED corpse on RIGHT side,healthy,Child,corpse,Child,squish,right,4,590,N,N
7,7,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Civilian,squish,left,4,585,N,N
8,7,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Civilian,corpse,Doctor,squish,left,4,580,N,N
9,7,SAVED healthy|healthy on LEFT side,healthy|healthy,Doctor|Doctor,zombie,Child,save,left,5,550,N,N
10,7,SQUISHED corpse on RIGHT side,corpse,Child,corpse,Child,squish,right,5,545,N,N
11,7,SQUISHED zombie on LEFT side,zombie,Police,healthy,Police,squish,left,5,540,N,N
12,7,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Police|Police,healthy,Civilian,squish,left,5,535,N,N
13,7,SQUISHED zombie on LEFT side,zombie,Police,healthy,Doctor,squish,left,5,530,N,N
14,7,SQUISHED injured on LEFT side,injured,Doctor,zombie,Child,squish,left,5,525,N,N
15,7,SQUISHED zombie on LEFT side,zombie,Civilian,healthy,Civilian,squish,left,5,520,N,N
16,7,SAVED healthy on LEFT side,healthy,Child,zombie,Militant,save,left,6,490,N,N
17,7,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,zombie,Militant,save,left,8,460,N,N
18,7,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Child,healthy,Militant,save,left,10,430,N,N
19,7,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Child|Child,corpse,Child,squish,left,10,425,N,N
20,7,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Child|Civilian,zombie,Child,squish,left,10,420,N,N
