Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,11,SQUISHED corpse on LEFT side,corpse,Police,zombie,Civilian,squish,left,0,715,N,N
2,11,SAVED healthy|corpse on LEFT side,healthy|corpse,Civilian|Civilian,zombie,Child,save,left,2,685,N,N
3,11,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,3,655,N,N
4,11,SAVED healthy on LEFT side,healthy,Civilian,healthy,Doctor,save,left,4,625,N,N
5,11,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Doctor,zombie,Child,squish,left,4,620,N,N
6,11,SAVED healthy|zombie on LEFT side,healthy|zombie,Militant|Child,healthy,Civilian,save,left,6,590,N,N
7,11,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Doctor,healthy,Child,squish,left,6,585,N,N
8,11,SQUISHED corpse on RIGHT side,corpse,Militant,corpse,Doctor,squish,right,6,580,N,N
9,11,"SCRAM - Left: injured, Right: healthy",injured,Civilian,healthy,Civilian,scram,both,6,580,N,N
10,11,"SCRAM - Left: injured, Right: healthy",injured,Civilian,healthy,Civilian,scram,both,0,460,N,N
11,11,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,zombie,Child,save,left,2,430,N,N
12,11,SAVED healthy on LEFT side,healthy,Police,healthy,Militant,save,left,3,400,N,N
13,11,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Child,healthy,Police,save,left,5,370,N,N
14,11,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Civilian,squish,left,5,365,N,N
15,11,SAVED healthy|healthy on LEFT side,healthy|healthy,Militant|Civilian,zombie,Militant,save,left,7,335,N,N
16,11,"SCRAM - Left: healthy, Right: injured",healthy,Civilian,injured,Civilian,scram,both,7,335,N,N
17,11,"SCRAM - Left: healthy, Right: injured",healthy,Civilian,injured,Civilian,scram,both,0,215,N,N
18,11,SAVED injured on LEFT side,injured,Doctor,healthy,Civilian,save,left,1,185,N,N
19,11,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,healthy,Doctor,save,left,3,155,N,N
20,11,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Civilian|Civilian,healthy,Civilian,squish,left,3,150,N,N
21,11,SQUISHED corpse on RIGHT side,zombie,Police,corpse,Child,squish,right,3,145,N,N
22,11,SQUISHED corpse on RIGHT side,healthy,Police,corpse,Child,squish,right,3,140,N,N
