Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,16,SAVED healthy on LEFT side,healthy,Child,,,save,left,1,690,N,N
2,16,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Militant|Doctor,healthy,Child,squish,left,1,685,N,N
3,16,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Militant,squish,left,1,680,N,N
4,16,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Doctor,healthy,Civilian,squish,left,1,675,N,N
5,16,SQUISHED zombie on LEFT side,zombie,Child,injured,Doctor,squish,left,1,670,N,N
6,16,SQUISHED zombie on LEFT side,zombie,Child,corpse,Doctor,squish,left,1,665,N,N
7,16,SAVED healthy on LEFT side,healthy,Civilian,injured,Child,save,left,2,635,N,N
8,16,SQUISHED zombie on RIGHT side,injured|corpse,Doctor|Doctor,zombie,Civilian,squish,right,2,630,N,N
9,16,SQUISHED zombie on LEFT side,zombie,Civilian,zombie,Doctor,squish,left,2,625,N,N
10,16,SQUISHED corpse on RIGHT side,corpse,Police,corpse,Doctor,squish,right,2,620,N,N
11,16,SQUISHED corpse on LEFT side,corpse,Doctor,healthy,Police,squish,left,2,615,N,N
12,16,SQUISHED zombie|injured on LEFT side,zombie|injured,Child|Child,zombie,Child,squish,left,2,610,N,N
13,16,SQUISHED corpse on RIGHT side,healthy|corpse,Child|Child,corpse,Child,squish,right,2,605,N,N
14,16,SQUISHED corpse on RIGHT side,corpse,Civilian,corpse,Doctor,squish,right,2,600,N,N
15,16,SAVED healthy|zombie on LEFT side,healthy|zombie,Doctor|Militant,healthy,Militant,save,left,3,570,N,N
16,16,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,zombie,Child,save,left,5,540,N,N
17,16,SQUISHED corpse on RIGHT side,corpse,Civilian,corpse,Civilian,squish,right,5,535,N,N
18,16,SAVED healthy on RIGHT side,injured,Doctor,healthy,Doctor,save,right,6,505,N,N
19,16,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Militant,zombie|healthy,Civilian|Civilian,squish,left,6,500,N,N
20,16,SAVED healthy|healthy on LEFT side,healthy|healthy,Police|Civilian,corpse,Child,save,left,7,470,N,N
