Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,28,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Militant,zombie,Doctor,squish,left,0,715,N,N
2,28,SAVED healthy|healthy on LEFT side,healthy|healthy,Doctor|Civilian,healthy,Police,save,left,2,685,N,N
3,28,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,healthy,Civilian,save,left,4,655,N,N
4,28,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Doctor,squish,left,4,650,N,N
5,28,SAVED healthy|zombie on LEFT side,healthy|zombie,Militant|Child,zombie,Child,save,left,6,620,N,N
6,28,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Militant,zombie,Child,squish,left,6,615,N,N
7,28,SQUISHED zombie on LEFT side,zombie,Child,corpse,Doctor,squish,left,6,610,N,N
8,28,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Child|Doctor,zombie,Civilian,squish,left,6,605,N,N
9,28,SQUISHED zombie|corpse on LEFT side,zombie|corpse,Doctor|Police,corpse,Civilian,squish,left,6,600,N,N
10,28,SAVED healthy on LEFT side,healthy,Civilian,,,save,left,7,570,N,N
11,28,SQUISHED zombie on LEFT side,zombie,Child,corpse,Police,squish,left,7,565,N,N
12,28,SQUISHED corpse on RIGHT side,corpse,Doctor,corpse,Child,squish,right,7,560,N,N
13,28,SAVED healthy|healthy on LEFT side,healthy|healthy,Doctor|Civilian,corpse,Child,save,left,8,530,N,N
14,28,SAVED healthy on LEFT side,healthy,Child,healthy,Doctor,save,left,9,500,N,N
15,28,"SCRAM - Left: healthy, Right: zombie",healthy,Civilian,zombie,Child,scram,both,9,500,N,N
16,28,"SCRAM - Left: healthy, Right: zombie",healthy,Civilian,zombie,Child,scram,both,0,380,N,N
17,28,SQUISHED corpse on LEFT side,corpse,Child,healthy,Civilian,squish,left,0,375,N,N
18,28,SAVED healthy on LEFT side,healthy,Civilian,healthy,Police,save,left,1,345,N,N
19,28,SAVED healthy on LEFT side,healthy,Civilian,zombie,Child,save,left,2,315,N,N
20,28,SAVED healthy on LEFT side,healthy,Civilian,healthy,Police,save,left,3,285,N,N
21,28,SQUISHED corpse|zombie on LEFT side,corpse|zombie,Child|Civilian,healthy|corpse,Civilian|Doctor,squish,left,3,280,N,N
