Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,12,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Police|Child,healthy,Civilian,squish,left,0,715,N,N
2,12,SQUISHED corpse|injured on LEFT side,corpse|injured,Civilian|Child,healthy,Doctor,squish,left,0,710,N,N
3,12,SAVED healthy on LEFT side,healthy,Child,healthy,Civilian,save,left,1,680,N,N
4,12,SQUISHED zombie on LEFT side,zombie,Doctor,zombie,Child,squish,left,1,675,N,N
5,12,SQUISHED zombie on LEFT side,zombie,Police,healthy,Militant,squish,left,1,670,N,N
6,12,SAVED healthy on LEFT side,healthy,Doctor,healthy,Police,save,left,2,640,N,N
7,12,SAVED healthy on RIGHT side,healthy,Civilian,healthy,Civilian,save,right,3,610,N,N
8,12,SQUISHED zombie on LEFT side,zombie,Civilian,healthy,Police,squish,left,3,605,N,N
9,12,SAVED healthy|healthy on LEFT side,healthy|healthy,Police|Doctor,healthy,Civilian,save,left,4,575,N,N
10,12,SAVED healthy on RIGHT side,healthy,Civilian,healthy,Civilian,save,right,5,545,N,N
11,12,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,6,515,N,N
12,12,SAVED healthy on LEFT side,healthy,Doctor,healthy,Militant,save,left,7,485,N,N
13,12,SQUISHED zombie on LEFT side,zombie,Police,healthy,Civilian,squish,left,7,480,N,N
14,12,SAVED healthy on LEFT side,healthy,Police,zombie,Child,save,left,8,450,N,N
15,12,SAVED corpse on RIGHT side,injured|healthy,Civilian|Civilian,corpse,Child,save,right,10,420,N,N
16,12,SQUISHED corpse on RIGHT side,injured,Civilian,corpse,Child,squish,right,10,415,N,N
17,12,SQUISHED zombie on LEFT side,zombie,Civilian,healthy,Child,squish,left,10,410,N,N
18,12,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Doctor,zombie,Child,squish,left,10,405,N,N
