Step,Run ID,Situation,Left Side Had,Left Side Roles,Right Side Had,Right Side Roles,RL Action,Action Side,People in Ambulance,Time Left (min),Left Inspected,Right Inspected
1,1,SQUISHED corpse|healthy on LEFT side,corpse|healthy,Civilian|Doctor,healthy,Civilian,squish,left,0,715,N,N
2,1,SAVED healthy|healthy on LEFT side,healthy|healthy,Civilian|Civilian,corpse,Child,save,left,1,685,N,N
3,1,SQUISHED zombie on LEFT side,zombie,Doctor,corpse,Child,squish,left,1,680,N,N
4,1,SQUISHED corpse on RIGHT side,injured,Civilian,corpse,Doctor,squish,right,1,675,N,N
5,1,SQUISHED zombie on LEFT side,zombie,Police,corpse,Doctor,squish,left,1,670,N,N
6,1,SQUISHED zombie on LEFT side,zombie,Civilian,injured,Doctor,squish,left,1,665,N,N
7,1,SAVED healthy|zombie on LEFT side,healthy|zombie,Militant|Child,zombie|corpse,Civilian|Child,save,left,3,635,N,N
8,1,SQUISHED zombie on LEFT side,zombie,Police,healthy,Militant,squish,left,3,630,N,N
9,1,SQUISHED zombie on LEFT side,zombie,Child,,,squish,left,3,625,N,N
10,1,SQUISHED corpse on LEFT side,corpse,Doctor,,,squish,left,3,620,N,N
11,1,SQUISHED corpse on RIGHT side,healthy,Police,corpse,Police,squish,right,3,615,N,N
12,1,SQUISHED zombie|zombie on LEFT side,zombie|zombie,Child|Doctor,zombie|healthy,Militant|Militant,squish,left,3,610,N,N
13,1,SQUISHED corpse on RIGHT side,healthy,Militant,corpse,Doctor,squish,right,3,605,N,N
14,1,SQUISHED corpse on LEFT side,corpse,Civilian,healthy,Civilian,squish,left,3,600,N,N
15,1,SAVED healthy on LEFT side,healthy,Civilian,healthy,Civilian,save,left,4,570,N,N
16,1,SQUISHED zombie on RIGHT side,corpse|corpse,Civilian|Doctor,zombie,Civilian,squish,right,4,565,N,N
17,1,SQUISHED zombie|healthy on LEFT side,zombie|healthy,Civilian|Civilian,healthy,Child,squish,left,4,560,N,N
18,1,SQUISHED corpse on RIGHT side,healthy,Doctor,corpse,Child,squish,right,4,555,N,N
19,1,SQUISHED corpse on LEFT side,corpse,Civilian,zombie,Doctor,squish,left,4,550,N,N
20,1,SQUISHED zombie|injured on LEFT side,zombie|injured,Child|Civilian,healthy,Civilian,squish,left,4,545,N,N
